prevision_j,heure,fioul_tac,nucleaire,ech_comm_angleterre,date,gaz_tac,bioenergies_biogaz,bioenergies_biomasse,destockage_batterie,charbon,prevision_j1,hydraulique_step_turbinage,stockage_batterie,pompage,gaz_ccg,hydraulique_lacs,eolien_terrestre,ech_comm_allemagne_belgique,fioul,solaire,ech_comm_italie,bioenergies,gaz_autres,date_heure,fioul_cogen,gaz_cogen,hydraulique_fil_eau_eclusee,hydraulique,ech_comm_suisse,eolien_offshore,perimetre,ech_comm_espagne,taux_co2,eolien,ech_physiques,bioenergies_dechets,nature,consommation,gaz,fioul_autres
64200,00:00,0,49129,2514,2025-01-01,0,252,363,1,0,64000,380,-3,-2199,631,525,9503,6662,107,0,-3111,911,0,2024-12-31T23:00:00+00:00,110,1643,4482,5387,-3200,1384,France,-2341,22,10887,-2534,296,Données temps réel,63949,2273,0
63650,00:15,0,47071,2514,2025-01-01,0,250,342,2,0,63350,198,-10,-2390,453,747,9587,6662,108,0,-3111,894,0,2024-12-31T23:15:00+00:00,110,1642,4397,5342,-3200,1356,France,-2341,21,10944,-93,302,Données temps réel,63954,2094,0
63100,00:30,0,45763,2514,2025-01-01,0,250,343,1,0,62700,195,-12,-2394,392,740,9712,6451,108,0,-3111,895,0,2024-12-31T23:30:00+00:00,110,1644,4386,5322,-3200,1364,France,-2341,21,11076,83,302,Données temps réel,62870,2034,0
62200,00:45,1,45084,2514,2025-01-01,0,252,363,1,0,61900,131,-10,-2390,393,688,9736,6451,111,0,-3111,914,0,2024-12-31T23:45:00+00:00,110,1557,4412,5230,-3200,1375,France,-2341,21,11111,-470,299,Données temps réel,61522,1949,0
61300,01:00,0,44609,2483,2025-01-01,0,252,361,1,0,61100,126,-11,-2398,210,688,9877,5971,110,0,-3111,911,0,2025-01-01T00:00:00+00:00,110,1555,4411,5224,-3200,1362,France,-2341,20,11239,-324,298,Données temps réel,61115,1764,0
61650,01:15,1,44720,2483,2025-01-01,0,252,360,1,0,61350,280,-18,-2397,210,747,9996,5971,111,0,-3111,912,0,2025-01-01T00:15:00+00:00,110,1555,4339,5366,-3200,1378,France,-2341,20,11373,-405,300,Données temps réel,61421,1764,0
62000,01:30,0,44460,2483,2025-01-01,0,252,362,1,0,61600,282,-18,-2389,212,704,10132,5973,110,0,-3111,911,0,2025-01-01T00:30:00+00:00,110,1555,4317,5303,-3200,1384,France,-2341,20,11516,-591,298,Données temps réel,61062,1766,0
61850,01:45,1,44379,2483,2025-01-01,0,252,361,1,0,61450,246,-17,-2390,261,750,10092,5973,111,0,-3111,906,0,2025-01-01T00:45:00+00:00,110,1556,4265,5261,-3200,1378,France,-2341,20,11471,-591,293,Données temps réel,60939,1816,0
61700,02:00,1,44457,2283,2025-01-01,0,252,362,1,0,61300,238,-17,-2413,90,753,10150,5774,111,0,-3111,912,0,2025-01-01T01:00:00+00:00,110,1556,4297,5288,-3200,1369,France,-2341,19,11519,-867,298,Données temps réel,60629,1645,0
61000,02:15,1,44538,2283,2025-01-01,0,252,359,36,0,60500,58,-1,-2854,165,739,10192,5774,111,0,-3111,907,0,2025-01-01T01:15:00+00:00,110,1489,4257,5054,-3200,1386,France,-2341,19,11577,-20,296,Données temps réel,60995,1653,0
60300,02:30,1,44276,2283,2025-01-01,0,252,359,13,0,59700,35,-2,-2852,153,685,10172,5413,111,0,-3111,908,0,2025-01-01T01:30:00+00:00,110,1488,4251,4970,-3200,1387,France,-2341,19,11559,-558,298,Données temps réel,60057,1640,0
59550,02:45,0,43933,2283,2025-01-01,0,252,365,28,0,58750,1,-1,-2853,112,670,10312,5413,110,0,-3111,910,0,2025-01-01T01:45:00+00:00,110,1489,4206,4877,-3200,1372,France,-2341,19,11684,-909,294,Données temps réel,59372,1599,0
58800,03:00,0,43180,2386,2025-01-01,0,252,363,16,0,57800,1,-3,-2855,144,455,10326,5180,110,0,-3106,907,0,2025-01-01T02:00:00+00:00,110,1488,4202,4658,-3200,1372,France,-2341,20,11698,-739,292,Données temps réel,58594,1630,0
58350,03:15,0,43204,2386,2025-01-01,0,252,360,39,0,57100,0,-1,-2925,117,208,10473,5180,110,0,-3106,907,0,2025-01-01T02:15:00+00:00,110,1489,4165,4373,-3200,1370,France,-2341,20,11842,-935,295,Données temps réel,58212,1605,0
57900,03:30,0,42676,2386,2025-01-01,0,252,357,4,0,56400,0,-4,-3000,105,205,10513,5020,110,0,-3106,904,0,2025-01-01T02:30:00+00:00,110,1488,4116,4321,-3200,1387,France,-2341,20,11900,-916,296,Données temps réel,57580,1592,0
57250,03:45,1,42228,2386,2025-01-01,0,252,357,4,0,55800,0,-5,-2995,165,206,10535,5020,111,0,-3106,905,0,2025-01-01T02:45:00+00:00,110,1488,4107,4313,-3200,1393,France,-2341,20,11928,-1218,297,Données temps réel,56915,1652,0
56600,04:00,1,42091,2333,2025-01-01,0,252,358,5,0,55200,0,-5,-2989,143,211,10599,5560,111,0,-3111,910,0,2025-01-01T03:00:00+00:00,110,1490,4048,4259,-3200,1413,France,-2400,20,12012,-1674,300,Données temps réel,56345,1632,0
