,Date - Heure,target,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
2080,2025-03-28 16:00:00+01:00,49979.5,-0.66859007,1.5495368,-1.4455009,0.18324924,-0.9591022,-2.7258854,0.05763482,0.6019805,-0.25831625,0.16969971,0.6277356,-0.50931966,0.36250654,0.04828324,0.047131613,0.35907042,0.5808325,0.5860766
1281,2025-02-23 09:00:00+01:00,51679.25,1.0941344,0.93717825,-2.083523,-0.4119943,0.7968957,0.6985832,-1.469772,0.4759367,-0.23472127,0.12003077,1.8730392,1.2420478,0.58197856,-0.53385013,-0.56359,-0.8128761,1.1477236,-1.3108094
3425,2025-05-23 17:00:00+01:00,43249.0,-0.67329526,-0.54970133,-0.43770084,-0.932176,2.8097062,-0.0097178,-0.3435038,0.32126045,0.6041603,-0.03250248,0.33014035,1.3803957,-0.54719424,0.6799659,-0.48899832,-0.21314172,0.18176581,0.29214412
2523,2025-04-16 03:00:00+01:00,38992.75,-1.3770307,-0.5377443,-1.420974,-0.04337371,1.9053129,-0.028029695,0.33450758,0.80391526,-0.6690821,1.3189008,0.104015574,0.16351935,0.38954726,-0.52732897,-0.3488535,0.34662777,-0.29360533,0.08717699
1448,2025-03-02 08:00:00+01:00,56987.75,1.644688,1.7242382,-1.2227913,-0.08152692,1.5292947,-0.5937027,-0.4685322,-0.91995466,-0.42455837,-1.6013341,0.5654348,-0.3571007,0.50915897,-0.59662825,0.7211782,0.14703138,-0.19309844,-0.56755275
7091,2025-10-23 11:00:00+01:00,54470.25,-2.109316,4.642553,-1.0174812,2.3479662,-0.93464047,0.60063565,1.3299575,-0.98063636,-1.0695006,-1.8339115,0.5251522,1.6307797,-0.99303955,0.9285863,0.59687424,-0.10401158,0.18109135,0.15440801
3368,2025-05-21 08:00:00+01:00,46199.5,-0.4855867,-1.0247672,-0.46337393,-0.62663037,1.8720195,-0.68671834,0.32617286,-0.31547838,0.26884076,0.48603147,0.1526537,1.1575158,-0.20493017,0.40196228,0.14151004,-0.05616228,0.33177269,-0.33439207
2792,2025-04-27 08:00:00+01:00,38864.5,-1.7317935,-4.067499,-3.0554876,1.1910001,1.7051972,0.26204675,2.3539019,-0.09149277,-1.4510969,1.5938861,-0.6076187,0.0906442,0.55687237,-0.79268336,1.0412828,0.43381464,-0.32646593,-0.028817032
6713,2025-10-07 17:00:00+01:00,47609.0,0.61485195,-2.170912,0.9963211,-1.4866146,-1.7901437,-0.1685916,-0.22501113,1.3445609,-0.6797561,-0.24834993,1.242168,0.63693047,0.44624594,-0.90544075,0.60039,-1.0907753,-0.8476657,0.9054482
2021,2025-03-26 05:00:00+01:00,46204.5,0.86824584,-0.45809394,-0.98338634,-1.0556166,1.5283961,-1.5601833,-0.8650041,-0.1659146,-0.640919,0.4711131,0.5335518,-0.97356397,0.89394593,-0.59141755,0.19071326,0.5320148,0.2569113,0.060071282
4749,2025-07-17 21:00:00+01:00,47980.25,1.1177098,-2.1181653,2.6362631,-1.1011245,-1.5786353,1.3163373,1.3387636,-0.47372228,-0.22657928,-0.5270647,0.54156595,-0.5116078,-0.27949148,-0.20572442,-0.06552679,-0.70436347,-0.120834395,0.43962798
2600,2025-04-19 08:00:00+01:00,43816.5,-1.1499486,-0.3874795,-1.0490885,0.051970504,2.0424197,-0.57973605,0.77211595,-0.07791206,-0.8231037,0.874444,0.06472647,0.73468643,-0.20946616,0.5111129,-0.5612694,-0.14298002,0.050933033,-0.091926485
1701,2025-03-12 21:00:00+01:00,58532.0,6.166255,-2.0344884,2.0683596,1.3921772,-0.37459493,0.77342576,0.05149833,-0.029650956,-0.68652964,0.65185106,1.4157059,-1.6123173,-1.5336399,-0.36464095,-1.3831413,-1.3816566,1.3418738,0.59888625
1509,2025-03-04 21:00:00+01:00,57772.0,4.6368804,-0.9346435,0.79785544,-1.3334749,0.5217089,1.0239276,0.23904972,-0.5355407,-0.5814711,-0.2798366,1.0189979,-0.3635438,0.12777424,-0.31754667,-0.25161707,-1.1468437,1.1544286,0.036449563
5528,2025-08-19 08:00:00+01:00,44753.5,-0.9682469,-1.6521813,1.4215572,-0.8839512,-0.98622805,-0.42583808,0.46814263,0.10615289,-1.2143478,-0.57800543,0.11246257,-0.661421,-0.2341202,0.20041291,-0.13364103,-0.7082535,-0.81625277,-0.12606147
6561,2025-10-01 09:00:00+01:00,50477.25,-1.1329699,-1.204394,2.5072238,1.7510726,-1.7720914,-1.7449788,-2.3453357,-1.2077343,0.94994164,-0.93623394,-0.87781286,1.5531642,2.4409852,0.24722296,0.0683949,0.045362532,0.753227,-0.47326925
1400,2025-02-28 08:00:00+01:00,67826.25,6.698228,-1.3106756,0.8705007,-0.8320261,0.038196888,-0.3363701,2.3277266,-1.0128967,-1.638848,-1.2942479,0.22179994,0.18163137,-0.20275879,-1.1084263,-0.3608596,-1.0559183,0.97883546,1.1211655
5960,2025-09-06 08:00:00+01:00,38417.75,-3.294727,0.35712808,0.3327768,-0.24397974,-0.109464616,-0.79234636,-0.57459587,0.8906094,-0.9785694,-0.051983695,-0.76737726,0.24996102,-0.32137492,-0.17435971,-0.0964411,0.16353975,0.31077558,0.14197052
5177,2025-08-04 17:00:00+01:00,42991.5,-2.8982925,0.020538207,0.30224037,0.043456085,-1.3001783,0.71039,-0.19011997,-0.091692984,-0.27860188,-0.11500548,-0.5092182,-0.51068866,-0.5783644,0.6615584,-0.24674211,-0.58252966,0.20787498,-0.9190325
5912,2025-09-04 08:00:00+01:00,47194.5,-1.2676551,0.60853845,2.0710654,0.12967262,-0.76967835,0.106057435,1.6382535,-0.6597333,-0.6243163,-0.8929789,-0.62377566,-0.5556421,-0.78104347,0.25458285,-0.62848234,-0.46723372,-0.20939127,-0.33555984
360,2025-01-16 00:00:00+01:00,68495.0,8.612528,0.5934975,-1.6285112,-2.013567,-0.9650371,1.1626855,-2.8147686,-0.5671669,-0.6390095,2.1609406,-0.4566068,1.5160171,-0.11074891,0.40800226,-0.6991113,-0.27752262,-1.0782144,0.13494527
5345,2025-08-11 17:00:00+01:00,47416.25,-1.5404451,-1.6093878,0.23437023,-0.32664466,-1.2237716,-1.1599171,0.6376204,-0.52911687,-0.933265,-0.93790954,0.49648088,0.03079436,-0.2731524,0.3564471,-0.000329433,-0.5719781,-1.1922114,-0.3778867
4102,2025-06-20 22:00:00+01:00,46266.0,0.8591244,-1.010672,1.1539166,-0.43466827,1.2946383,2.367892,1.3111653,-0.43652204,0.36025828,-1.0065228,0.011858659,-0.05858005,-0.27730763,-0.19399011,0.6433965,-0.06853198,-0.5345806,0.14881918
